model,rmse,mae,mape_log,mape_actual,r2
gradient boosting regressor,0.8477185878119307,0.6270765007568911,0.08322764241327307,0.792046017398781,0.16167077429556753
"gradient boosting (structured features only, NO EMBEDDINGS)",0.8499793621309075,0.6261993594381083,0.08320823839307998,0.7930932228968627,0.1571933440339256
linear regression,0.867338253327677,0.642022950231356,0.0852267318437443,0.8099754198714672,0.12241700984911374
ridge regression,0.8665963394416187,0.6418222089144632,0.08524070985997753,0.8141752595078324,0.1239177220226273
random forest regressor,0.8685340318660749,0.6468703760850778,0.08604777046419956,0.8265756514835787,0.1199955363602988
lasso regression,0.9258968004508916,0.7033410452490991,0.09364203490120451,0.8826485600539185,-8.372885535101737e-05
xgboost regressor,0.9031151247412916,0.6717892267766341,0.08913086386666946,0.8913150209515805,0.04852490298222645
