metric,with_embeddings,no_embeddings,difference,better_model
RMSE,0.8477185878119307,0.8499793621309075,0.002260774318976866,With Embeddings
MAE,0.6270765007568911,0.6261993594381083,-0.0008771413187828037,No Embeddings
MAPE (log),0.08322764241327307,0.08320823839307998,-1.9404020193097837e-05,No Embeddings
MAPE (actual),0.792046017398781,0.7930932228968627,0.0010472054980816825,With Embeddings
R²,0.16167077429556753,0.1571933440339256,-0.004477430261641935,With Embeddings
